Question,A,B,C,D,Correct Answer
"1.1 Sur une carte de pressions telle que ci-dessous, quelle est l’affirmation exacte :",a) les isobares donnent une indication sur la force et la direction du vent en altitude.,b) les isobares donnent une indication sur la force et la direction du vent en basse couche.,c) les isobares donnent une indication sur la force et la direction des courants jets.,d) les isohypses donnent une indication sur la force et la direction du vent au sol.,B
1.2 Les cumulonimbus sont des nuages :,a) stables et inoffensifs.,b) instables et dangereux qui peuvent provoquer des dégâts considérables à un aéronef.,c) qui sont la conséquence d’un vent fort en altitude.,"d) en forme de cheveux d’anges, très haut dans le ciel.",B
"1.3 Concernant les précipitations relatives aux nuages, trouvez l’affirmation exacte :",a) Les cumulonimbus et les nuages convectifs produisent de la bruine.,b) Les nimbostratus produisent des averses et de la grêle.,"c) Les stratus, altostratus et cirrostratus produisent de la neige.",d) Les nimbostratus produisent plutôt une pluie fine ou de la neige et les cumulonimbus des averses et de la grêle.,D
1.4 La brise de mer est la plus forte :,a) tôt le matin.,b) en milieu d’après-midi.,c) en début de nuit.,d) en milieu de nuit.,B
1.5 Le point de rosée est défini comme :,a) l’emplacement de l’aéroport où les données météorologiques sont mesurées.,b) la température qui permet l’évaporation de la rosée.,c) la température à partir de laquelle la masse d’air considérée arrive à saturation.,d) l’heure à laquelle la rosée va commencer à se déposer.,C
"1.6 Lors du passage d'une perturbation, depuis le sol, un observateur verra dans l'ordre :",a) Air froid antérieur - Front chaud - Secteur chaud - Front froid - Traine,b) Front chaud - Secteur chaud - Front froid - Traine - Air froid antérieur,c) Secteur chaud - Front froid - Traine - Air froid antérieur - Front chaud,d) Traine - Air froid antérieur - Front chaud - Secteur chaud - Front froid,B
1.7 La tranche d'atmosphère entre la troposphère et la stratosphère est appelée :,a) stratopause.,b) tropopause.,c) stratosphère.,d) planisphère.,B
1.8 Quelle est la température dans l'atmosphère standard à 10 000 ft ?,a) 10° C.,b) 0° C.,c) -5° C.,d) -17° C.,D
1.9 Le Mistral souffle :,a) de l’est vers l’ouest.,b) de l’ouest vers l’est.,c) du sud vers le nord.,d) du nord vers le sud.,D
1.10 On parle de brouillard lorsque la visibilité horizontale est inférieure à :,a) 1 km.,b) 3 km.,c) 5 km.,d) 10 km.,A
1.11 Quelle est la composition moyenne de l’atmosphère en volume :,"a) 78 % d’oxygène, 21 % d’oxyde de carbone et 1 % d’autres éléments.","b) 78 % d’oxyde de carbone, 21 % d’oxygène et 1 % d’autres éléments.","c) 78 % d’oxygène, 21 % d’azote et 1 % d’autres éléments.","d) 78 % d’azote, 21 % d’oxygène et 1 % d’autres éléments.",D
1.12 Le nuage figurant sur la photo ci-dessous est un :,a) cumulonimbus.,b) cumulus.,c) stratus.,d) altocumulus.,A
1.13 Le phénomène météorologique observé sur la photo ci-dessous est :,a) du brouillard.,b) un orage.,c) un front chaud.,d) la convection.,A
"1.14 Parmi les différentes couches de l'atmosphère, les phénomènes météorologiques (nuages, précipitations) ont lieu dans :",a) la troposphère.,b) la stratosphère.,c) la mésosphère.,d) la thermosphère.,A
1.15 Les courants de vent puissants que l’on rencontre à très haute altitude sont nommés :,a) jet-stream.,b) jet-lag.,c) tornade.,d) rafale.,A
1.16 Quelle est la pression atmosphérique standard au niveau de la mer :,a) 101 325 hPa.,b) 101 325 Pa.,"c) 1013,25 Pa.","d) 1013,25 Bar.",A
1.17 La Tramontane est :,"a) un vent qui souffle du secteur nord-ouest, entre les Pyrénées et le Massif central.",b) l’assèchement de la masse d’air sous le vent d’un massif montagneux.,c) un vent qui souffle du nord vers le sud dans la vallée du Rhône.,d) une onde générée par la déviation d’un vent fort soufflant perpendiculairement à une chaîne montagneuse.,A
1.18 La brise de vallée descendante s’établit :,a) en milieu de matinée.,b) en début de soirée.,c) lorsqu’un vent dominant souffle perpendiculairement au relief.,d) lorsqu’une inversion de température est présente dans la masse d’air.,B
1.19 Quel est le nuage qui a « une tête d’enclume » :,a) l’altocumulus.,b) le stratonimbus.,c) le cumulonimbus.,d) le cirus.,C
"1.20 Pour un aéronef en vol, le seul nuage pouvant être la cause de tous ces dangers est :",a) le nimbostratus.,b) le stratus.,c) le cumulonimbus.,d) le cirrocumulus.,C